SENTENCE,USER_INPUT,KEY,PRESS_TIME,RELEASE_TIME
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",shift,1678460138.982146,1678460139.173804
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",h,1678460139.1259909,1678460139.197931
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",e,1678460139.184402,1678460139.3021219
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",l,1678460139.2899892,1678460139.354041
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",l,1678460139.4381492,1678460139.486377
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",o,1678460139.567425,1678460139.6229372
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",comma,1678460139.757938,1678460139.833606
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",space,1678460139.84159,1678460139.985763
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",shift,1678460139.933815,1678460140.10631
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",shift,1678460140.2471302,1678460140.482686
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",i,1678460140.4108858,1678460140.47455
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",space,1678460140.519735,1678460140.6328871
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",a,1678460140.6076422,1678460140.78939
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",m,1678460140.76811,1678460140.831854
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",space,1678460140.846764,1678460140.976265
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",shift,1678460140.975054,1678460141.14333
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",i,1678460141.0468,1678460141.118556
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",v,1678460141.15519,1678460141.27228
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",a,1678460141.2288058,1678460141.357065
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",n,1678460141.2886772,1678460141.344566
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",shift,1678460141.507284,1678460141.779349
"Hello! I am Ivan, I live in Wroclaw :)","Hello, I am Ivan!",1,1678460141.5789702,1678460141.6828742
